"Figure 1: Germany, the largest emitter of greenhouse gases, emits almost double that of the UK",""
" Highest greenhouse gas emitters (residence basis), UK and EU14, 2020",""
"",""
"Notes","1. Greenhouse gases under the Kyoto Protocol: carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur hexafluoride (SF6) and nitrogen trifluoride (NF3)."
"Unit","Thousand tonnes"
"",""
"Country","2020"
"Germany","794997"
"United Kingdom","478310"
"France","405954"
"Italy","393308"
"Spain","274575"
