"Table 4: Range of physical flow and annual values for greenhouse gas regulating from marine and coastal margins by category, UK, 2024"


,Physical flow (tonnes CO2 equivalent),,,"      Annual value (£ million, 2023 prices)",,
EUNIS category,Minimum,Average,Maximum,Minimum,Average,Maximum
Sublittoral sand,"92,963","185,926","278,889",27,54,80
Sublittoral mud,"49,728","273,502","671,323",14,79,193
Saltmarsh,"119,577","248,798","378,019",34,72,109
Seagrass,"2,529","7,082","11,635",1,2,3
Total,"264,798","715,309","1,339,866",76,206,386

Source: ,"Joint Nature Conservation Committee (JNCC), Scottish Association for Marine Science, University of St Andrews, Department for Energy Security and Net Zero"
Notes
1,Habitat categories are defined by the European Nature Information System (EUNIS).
