"Figure 18: Renewable electricity generation increased by almost 34 times between 2008 and 2022",""
"Marine renewable electricity generation, gigawatt hours, UK, 2008 to 2022",""
"",""
"Notes",""
"Unit","Gigawatt hours"
"",""
"Year","Offshore wind, wave and tidal electricity generation"
"2003","0.04"
"2004","0.04"
"2005","0.04"
"2006","0.04"
"2007","0.04"
"2008","1335"
"2009","1755"
"2010","3062"
"2011","5150"
"2012","7607"
"2013","11476"
"2014","13407"
"2015","17425"
"2016","16406"
"2017","20920"
"2018","26535"
"2019","31989"
"2020","40692"
"2021","35515"
"2022","45031"
