"Figure 5: Sea temperatures have gradually increased for Northern Ireland",""
"Average annual sea temperatures, England, Wales and Northern Ireland, 1996 to 2023",""
"",""
"Notes",""
"Unit","Degrees C"
"",""
"Year","Sea Surface Temperature for Northern Ireland (annual mean)","Near Seabed Temperature for Northern Ireland (annual mean)","Average coastal temperatures for England and Wales"
"1996","12","9","10"
"1997","12","10","13"
"1998","12","11","10"
"1999","12","11","13"
"2000","12","11","10"
"2001","12","10","14"
"2002","12","10","9"
"2003","12","11","13"
"2004","12","11","10"
"2005","12","10","13"
"2006","12","11","11"
"2007","12","11","13"
"2008","12","11","10"
"2009","11","10","13"
"2010","11","10","10"
"2011","12","11","13"
"2012","12","12","10"
"2013","11","10","13"
"2014","12","9","12"
"2015","11","10","12"
"2016","12","11","12"
"2017","12","11","13"
"2018","12","10","12"
"2019","12","11","[x]"
"2020","12","11","[x]"
"2021","12","10","[x]"
"2022","13","11","[x]"
"2023","13","10","[x]"
