Table 5: Asset values of marine and coastal margins ecosystem services
"UK, £ million (2023 prices), 2022"

,England,Scotland,Wales,Northern Ireland,UK
Fish provisioning,534,"3,135",49,31,"3,750"
Minerals and metals provisioning,"3,573",[x],440,[x],"4,150"
Oil and gas provisioning,"13,389","112,483",0,0,"125,872"
Renewable electricity provisioning,"16,483","3,297",458,[x],"21,491"
Air pollution regulating,780,5,53,0,839
Greenhouse gas regulating,[x],[x],[x],[x],"3,494"
Flood regulating,"2,022",[x],262,[x],"2,284"
Recreation (health benefits),"43,100","4,985","4,628","1,925","54,638"
Recreation and tourism (expenditure),"40,583","4,639","5,288","2,191","55,244"
Total,"120,464","128,545","11,179","4,146","271,763"

Source: ,Marine and coastal margins natural capital accounts from the Office for National Statistics
Notes
1,Country-level data may not add up to the overall UK total because of rounding and other data limitations.
2,[x] indicates that data are not available.
