Table 1: Scottish ecosystem services asset valuation
"£ million, 2018 prices"

,£,£,Percentage change
Services,2015,2016,2015 to 2016
Provisioning,,,
Agricultural biomass,"14,411","15,239",6
Fish capture,"3,233","5,251",62
Fossil fuels,"147,137","89,432",-39
Minerals,"1,263","1,484",18
Timber,"5,062","5,221",3
Water abstraction,"2,870","3,003",5
Renewables generation,"2,248","3,400",51
Regulating,,,
Carbon sequestration,"40,484","41,114",2
Air pollutant removal,"2,255","2,262",0
Urban cooling*,,60,-
Noise mitigation*,,"                             ",-
Cultural,,,
Recreation,"24,117","23,376",-3
Aesthetic (house prices)*,616,545,-12
Recreation (house prices)*,"6,085","5,598",-8
Total,"249,843","196,019",-22

Source: ,Office for National Statistics
Notes
1,* Services marked with an asterisk are new to this publication. 
2,- Signifies insufficient data in all columns rather than no change. 
3,Because of data constraints Noise mitigation estimates are only available in 2017. 
4,Noise mitigation asset value in 2017 has been included under Scottish total asset valuation in 2015 and 2016. 
5,Urban cooling asset value in 2016 has been included under Scottish total asset valuation in 2015. 
