"Figure 44: Renewable energy has increased by over four times between 2010 and 2016",""
"Percentage change in asset value by service from 2010, Scotland, 2016",""
"",""
"Notes","1. Excluding the comparison of asset values for fish capture, urban cooling and noise mitigation, due to data limitations."
"Unit","%"
"",""
"","Percentage change"
"Renewable energy","312.56"
"Agricultural biomass","128.44"
"Timber","59.89"
"Carbon sequestration","9.89"
"Water abstraction","5.76"
"Air pollution removal","-3.82"
"Recreation","-13.93"
"Minerals","-14.85"
"House prices (aesthetic and recreation)","-47.11"
"Fossil fuels","-53.28"
