Table 7: The total annual value of cooling from green and blue space in 2017 was valued at £247.8 million 
"Total annual value of cooling from green space and blue space in city regions, £ thousand (2018 prices), Great Britain, 2016 and 2017"

City Region,2016,,2017,
,Avoided costs (£),Number of hot days,Avoided costs (£),Number of hot days
Cardiff,"3,370",1.3,"5,260",3.1
Edinburgh,230,0.2,-,0
Glasgow,330,0.2,-,0
Greater Manchester,"7,820",1,"1,440",0.9
Liverpool,"4,230",1,860,2.2
London,"237,050",8.2,"207,830",7.4
North East,350,0.4,40,0
Sheffield,"3,460",2.4,"3,180",1.9
West Midlands,"12,640",2.8,"16,080",4.6
West of England,"4,650",1.6,"11,370",4.6
West Yorkshire,"4,710",1.1,"1,770",1
Total,"278,840",20.2,"247,830",25.7

Source: ,Eftec and others (2018) and Met office 
