"Table 1: UK ecosystem services asset valuation (£ million, 2018 prices)"


,£,£,Percentage change,
,2016,2017,2016 to 2017,2009 to 2016
Provisioning Services,,,,
Agricultural biomass,"118,426","128,292",8,37
Fish capture,"7,584"," - ",-,-
Fossil fuels,"95,285","59,358",-38,-53
Minerals,"5,483","6,408",17,82
Timber,"8,517","8,962",5,72
Water abstraction,"76,370","74,741",-2,25
Renewables generation,"7,887","9,501",20,133
,,,,
Regulating Services,,,,
Carbon sequestration,"103,947","105,602",2,12
Air pollutant removal,"43,152","43,447",1,0
Urban cooling*,"11,398","13,302",17,
Noise mitigation*,- ,832,-,
,,,,
Cultural Services,,,,
Recreation,"401,179","354,189",-12,1
Aesthetic (house prices)*,"9,428"," - ",-,-16
Recreation (house prices)*,"68,552"," - ",-,23
Total,"958,040"," - "," - ",

Source: ,Office for National Statistics
Notes
1,* Services marked with an asterisk are new to this publication.
2,- Signifies insufficient data in all columns rather than no change.
3,Noise mitigation asset value in 2017 has been included under UK total asset valuation in 2016. 
