Table 4: Noise mitigation from natural capital led to a £15.3 million saving in avoided loss of quality-adjusted years associated with a loss of amenity and adverse health outcomes
"Monetary flow accounts for the noise mitigation of urban natural capital, £ thousands (2018 prices), UK, 2017"

Noise band¹,Annual value of noise mitigation of 1dBA (£ thousand per year),,,,
,England,Scotland,Wales,Northern Ireland,UK
Greater than or equal to 80,1,-                             ,-           ,"  -                           "," 1"
75.0-79.9,148,-                             ,11,2,161
70.0-74.9,"1,104",8,106,56,"1,274"
65.0-69.9,"4,026",124,313,141,"4,604"
60.0-64.9,"7,778",481,672,324,"9,255"
Total,"13,057",613,"1,102",523,"15,295"

Source: ,Eftec and others (2018)
Notes
1,Five dBA bands applied along with guidance in Defra's noise pollution: economic analysis published in 2014.
