"Figure 37: Between 2009 and 2016, the asset value of renewables increased by 133%",""
"Percentage change in asset value by selected services from 2009, UK, 2016",""
"",""
"Notes","1. Excluding the comparison of asset values for fish capture, urban cooling and noise mitigation, due to data limitations."
"Unit","Percentage"
"",""
"Ecosystem Services","% change between the years 2009 and 2016"
"Renewables","132.7"
"Minerals","81.7"
"Timber","71.9"
"Agriculture","36.7"
"Water","25.0"
"Recreation (house prices)","23.3"
"Carbon sequestration","11.9"
"Recreation","1.0"
"Air pollutant removal","0.1"
"Aesthetic (house prices)","-16.1"
"Fossil fuels","-53.4"
