"Figure 9: Timber annual value peaks in 2018 because of increasing removals and prices",""
"Timber provisioning annual value, £ million (2018 prices), UK, 1985 to 2018",""
"",""
"Notes",""
"Unit","£ million, 2018 prices"
"",""
"Year","Annual value"
"1985","138"
"1986","156"
"1987","176"
"1988","220"
"1989","231"
"1990","197"
"1991","170"
"1992","136"
"1993","151"
"1994","189"
"1995","238"
"1996","218"
"1997","217"
"1998","178"
"1999","118"
"2000","113"
"2001","108"
"2002","99"
"2003","80"
"2004","77"
"2005","83"
"2006","95"
"2007","108"
"2008","155"
"2009","115"
"2010","131"
"2011","198"
"2012","202"
"2013","201"
"2014","245"
"2015","268"
"2016","241"
"2017","275"
"2018","362"
