Table 1: The share of a country’s total energy supply from renewables is substantially affected by the inclusion of solid biomass
"Share of total primary energy supply that is from renewable sources, world regions, 2015 to 2019"

World region,Average share of energy from renewables,"Average share of energy from renewables, excluding solid biomass"
Africa,49.6,2.9
Asia,13.8,5.2
Oceania,23.6,19
Latin America and the Caribbean,32.4,13.2
Europe,19.1,10.7
North America,12.1,9

Source: ,Organisation for Economic Co-operation and Development
Notes
1,Available data for 139 countries can be found in the dataset accompanying this release.
2,"Data for some countries are available for some additional years (1990, 1995, 2000, 2010 and 2020).,Renewables here includes: hydro, geothermal, solar (thermal and photovoltaic), wind and tide/wave/ocean energy, as well as combustible renewables (liquid biomass, biogas) and waste (renewable municipal waste), and solid biomass where appropriate. "
