"Figure 2: Germany and UK energy sector emissions have fallen since 2008",""
"Greenhouse gas emissions (residence basis) from the energy sector for selected European countries, 2008 to 2020",""
"",""
"Notes","1.     Data back to 1995, where available, are in the dataset accompanying this release.
2.     Data for all European countries are available in the dataset accompanying this release.
3.     For 2020, the restrictions relating to the coronavirus (COVID-19) pandemic will have affected economic activity."
"Unit","Greenhouse gas emissions, thousands of tonnes of carbon dioxide equivalent"
"",""
"","Denmark","Estonia","Germany","Greece","Luxembourg","Malta","Poland","Spain","United Kingdom"
"2008","21514","12083","362123","54369","1191","1997","163802","93281","190550"
"2009","21494","9884","334174","51178","1338","1875","157325","77521","168726"
"2010","21567","14522","354469","48835","1385","1873","162576","60668","176063"
"2011","18579","14071","349112","51050","1178","1921","163548","74464","163204"
"2012","14928","12817","361531","51457","1196","2030","157569","79214","177660"
"2013","17828","14496","364873","44691","822","1653","159184","59333","168697"
"2014","13207","13401","347686","40948","779","1609","150526","63223","147557"
"2015","10351","10369","341109","36033","549","856","152296","73811","131352"
"2016","11727","13031","339887","31842","333","562","152443","58402","109655"
"2017","9838","13986","319595","35413","328","722","153964","68385","99385"
"2018","8994","13005","305842","33684","305","701","153683","59222","95162"
"2019","5860","7109","256160","27740","306","743","140109","42549","89421"
"2020","5064","4872","219990","21280","311","823","130246","30517","80770"
