"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2023-24",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Mining,B,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Manufacturing,C,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Electricity and gas supply,D,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,"Waste collection, treatment and disposal services",D,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Other industries,E -S,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total industry,Total industry,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Households (g),HH,Supply,Self-extracted,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Environment,Environment,Supply,Self-extracted,ML,66979028.34,64330019.74,70216105.11,70682776.54,65951752.59,67148584.69,64412354.75,67522751.69,68141933.93,58447011.83
Australia,0,Total,Total,Supply,Self-extracted,ML,66979028.34,64330019.74,70216105.11,70682776.54,65951752.59,67148584.69,64412354.75,67522751.69,68141933.93,58447011.83
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Supply,Distributed,ML,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Supply,Distributed,ML,20569.9854,21874.5527,22076.7968,23154.2639,24236.3299,25274.487,24566.359,24255.4922,24319.5953,24321.9439
Australia,0,Manufacturing,C,Supply,Distributed,ML,1308.5246,1279.7188,1272.4556,np,np,np,np,np,1325.7381,1329.0697
Australia,0,Electricity and gas supply,D,Supply,Distributed,ML,9758.3924,9974.6702,10056.2326,np,np,np,np,np,na,na
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Distributed,ML,12159329.43,10825985.36,11810876.22,12583740.66,10370491.45,8769957.906,11372916.15,11897205.64,10670152.35,12469966.59
Australia,0,"Waste collection, treatment and disposal services",D,Supply,Distributed,ML,-,-,-,-,-,-,-,-,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Supply,Distributed,ML,12169087.82,10835960.04,11820932.45,np,np,np,np,np,10670152.35,12469966.59
Australia,0,Other industries,E -S,Supply,Distributed,ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Total industry,Total industry,Supply,Distributed,ML,12190966.33,10859114.31,11844281.7,12618446.4,10406302.27,8806649.713,11408761.41,11933189.34,10695797.69,12495617.6
Australia,0,Households (g),HH,Supply,Distributed,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Environment,Environment,Supply,Distributed,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total,Total,Supply,Distributed,ML,12190966.33,10859114.31,11844281.7,12618446.4,10406302.27,8806649.713,11408761.41,11933189.34,10695797.69,12495617.6
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Supply,Wastewater (a),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Mining,B,Supply,Wastewater (a),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Manufacturing,C,Supply,Wastewater (a),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Electricity and gas supply,D,Supply,Wastewater (a),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Wastewater (a),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,"Waste collection, treatment and disposal services",D,Supply,Wastewater (a),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Supply,Wastewater (a),ML,na,na,na,na,na,na,na,na,na,na
