"4610.0 Water Account, Australia, 2021-22",,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 19 October 2023,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2021-22",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit,   2014-15   ,   2015-16   ,   2016-17   ,   2017-18   ,   2018-19   ,   2019-20   ,   2020-21   ,  2021-22  
Australia,0,"Agriculture, forestry and fishing (d)",A,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,Manufacturing,C,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,Electricity and gas supply,D,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,"Waste collection, treatment and disposal services",D,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,"Total Electricity, gas, water and waste services",D,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,Other industries,E -S,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,Total industry,Total industry,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,Households (e),HH,Supply,Self-extracted,ML, - , - , - , - , - , - , - , - 
Australia,0,Environment,Environment,Supply,Self-extracted,ML,"66,979,028.34","64,330,019.74","70,216,105.11","70,682,776.54","65,951,752.59","67,148,584.69","64,412,354.75","66,204,840.82"
Australia,0,Total,Total,Supply,Self-extracted,ML,"66,979,028.34","64,330,019.74","70,216,105.11","70,682,776.54","65,951,752.59","67,148,584.69","64,412,354.75","66,204,840.82"
Australia,0,"Agriculture, forestry and fishing (d)",A,Supply,Distributed,ML, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Distributed,ML,"17,846.85","18,978.71","19,154.18","20,089.01","21,027.83","21,928.55","21,314.17","21,044.45"
Australia,0,Manufacturing,C,Supply,Distributed,ML,804.7087,786.9939,782.5273, np , np , np , np , np 
Australia,0,Electricity and gas supply,D,Supply,Distributed,ML,"9,758.39","9,974.67","10,056.23", np , np , np , np , np 
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Distributed,ML,"12,159,329.43","10,825,985.36","11,810,876.22","12,583,740.66","10,370,491.45","8,769,957.91","11,372,916.15","11,898,356.60"
Australia,0,"Waste collection, treatment and disposal services",D,Supply,Distributed,ML, - , - , - , - , - , - , - , - 
Australia,0,"Total Electricity, gas, water and waste services",D,Supply,Distributed,ML,"12,169,087.82","10,835,960.04","11,820,932.45", np , np , np , np , np 
Australia,0,Other industries,E -S,Supply,Distributed,ML, na , na , na , na , na , na , na , na 
Australia,0,Total industry,Total industry,Supply,Distributed,ML,"12,187,739.38","10,855,725.74","11,840,869.16","12,614,880.25","10,402,597.73","8,802,816.52","11,405,011.03","11,930,264.74"
Australia,0,Households (e),HH,Supply,Distributed,ML, - , - , - , - , - , - , - , - 
Australia,0,Environment,Environment,Supply,Distributed,ML, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Supply,Distributed,ML,"12,187,739.38","10,855,725.74","11,840,869.16","12,614,880.25","10,402,597.73","8,802,816.52","11,405,011.03","11,930,264.74"
Australia,0,"Agriculture, forestry and fishing (d)",A,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,Mining,B,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,Manufacturing,C,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,Electricity and gas supply,D,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,"Waste collection, treatment and disposal services",D,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,"Total Electricity, gas, water and waste services",D,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,Other industries,E -S,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,Total industry,Total industry,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,Households (e),HH,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,Environment,Environment,Supply,Wastewater (a),ML, na , na , na , na , na , na , na , na 
Australia,0,Total,Total,Supply,Wastewater (a),ML,"2,051,195.00","2,013,917.00","2,092,724.10","1,951,553.60","1,993,495.00","2,066,118.00","2,167,839.00","2,420,314.00"
Australia,0,"Agriculture, forestry and fishing (d)",A,Supply,Reuse,ML, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Reuse,ML, np , np , np ,"32,325.74","33,836.42","35,285.79","34,297.17","33,863.17"
Australia,0,Manufacturing,C,Supply,Reuse,ML, np , np , np ,"10,175.21","10,076.33","9,898.02","10,119.98","10,377.19"
Australia,0,Electricity and gas supply,D,Supply,Reuse,ML,544.6946,556.7668,561.3195, np , np , np , np , np 
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Reuse,ML,"288,767.00","294,161.00","272,452.17","276,786.59","282,967.00","263,012.00","253,408.00","276,081.00"
Australia,0,"Waste collection, treatment and disposal services",D,Supply,Reuse,ML,1.9992,2.0435,2.0602, np , np , np , np , np 
Australia,0,"Total Electricity, gas, water and waste services",D,Supply,Reuse,ML,"289,313.69","294,719.81","273,015.55","277,360.86","283,543.26","263,580.73","253,967.39","276,643.90"
Australia,0,Other industries,E -S,Supply,Reuse,ML, na , na , na , na , na , na , na , na 
Australia,0,Total industry,Total industry,Supply,Reuse,ML,"328,265.90","335,268.03","313,789.32","319,861.81","327,456.01","308,764.54","298,384.55","320,884.27"
Australia,0,Households (e),HH,Supply,Reuse,ML, - , - , - , - , - , - , - , - 
Australia,0,Environment,Environment,Supply,Reuse,ML, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Supply,Reuse,ML,"328,265.90","335,268.03","313,789.32","319,861.81","327,456.01","308,764.54","298,384.55","320,884.27"
Australia,0,"Agriculture, forestry and fishing (d)",A,Supply,Return flows (b),ML, na , na , na , na , na , na , na , na 
Australia,0,Mining,B,Supply,Return flows (b),ML,"533,779.48","543,857.94","570,073.83","547,095.82","562,299.10","596,863.97","672,578.55","710,225.62"
Australia,0,Manufacturing,C,Supply,Return flows (b),ML,"128,619.86","125,155.12","128,856.05","131,704.53","129,513.91","133,950.29","144,308.18","134,775.53"
Australia,0,Electricity and gas supply,D,Supply,Return flows (b),ML,"49,897,418.07","48,486,283.50","53,501,446.32","53,037,746.50","50,770,778.86","53,949,087.24","48,316,413.39","49,802,370.97"
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Return flows (b),ML,"1,741,208.00","1,700,123.00","1,829,350.22","1,683,709.01","1,655,324.89","1,720,471.00","1,864,300.00","2,108,093.00"
Australia,0,"Waste collection, treatment and disposal services",D,Supply,Return flows (b),ML,44.1982,45.1775,45.5465,46.4266,46.5881,45.9796,45.2237,45.5076
Australia,0,"Total Electricity, gas, water and waste services",D,Supply,Return flows (b),ML,"51,638,670.27","50,186,451.67","55,330,842.08","54,721,501.94","52,426,150.34","55,669,604.22","50,180,758.62","51,910,509.48"
Australia,0,Other industries,E -S,Supply,Return flows (b),ML, na , na , na , na , na , na , na , na 
Australia,0,Total industry,Total industry,Supply,Return flows (b),ML,"52,301,069.60","50,855,464.73","56,029,771.96","55,400,302.29","53,117,963.35","56,400,418.48","50,997,645.35","52,755,510.63"
Australia,0,Households (e),HH,Supply,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,Environment,Environment,Supply,Return flows (b),ML, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Supply,Return flows (b),ML,"52,301,069.60","50,855,464.73","56,029,771.96","55,400,302.29","53,117,963.35","56,400,418.48","50,997,645.35","52,755,510.63"
Australia,0,"Agriculture, forestry and fishing (d)",A,Use,Surface water,ML,"1,364,652.52","1,218,608.66","1,530,687.21","1,423,080.62","1,016,459.18","744,619.94","955,014.36","1,045,704.71"
Australia,0,Mining,B,Use,Surface water,ML,"270,330.48","251,955.96","279,693.00","265,954.14","233,626.72","225,462.73","288,792.67", np 
Australia,0,Manufacturing,C,Use,Surface water,ML,"232,598.11","227,658.66","232,380.80","250,441.19","247,377.61","227,639.36","259,257.49", np 
Australia,0,Electricity and gas supply,D,Use,Surface water,ML,"49,903,970.48","48,489,622.12","53,501,581.93","53,046,099.04", np , np , np ,"49,802,313.24"
