"4610.0 Water Account, Australia, 2021-22",,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 19 October 2023,,,,,,,,,,,,,,
"Monetary Water Supply and Use, by Industry and Water Type, Australia and state/territory (Purchasers' Prices), $ Million, 2014-15 to 2021-22 (a)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 ,2021-22
Australia,0,"Agriculture, forestry and fishing",A,Supply,Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Distributed,$m, np , np , np , np , np , np , np , np 
Australia,0,Manufacturing,C,Supply,Distributed,$m, np , np , np , np , np , np , np , np 
Australia,0,"Electricity, gas and waste services",D,Supply,Distributed,$m,25.6865,28.1758,29.8355,30.5046,36.3854,29.9668,29.6451,30.4482
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Distributed,$m,"8,767.51","9,152.52","8,912.60","9,338.94","9,724.64","9,596.20","9,605.01","9,829.51"
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Distributed,$m,"8,793.20","9,180.69","8,942.43","9,369.45","9,761.03","9,626.17","9,634.66","9,859.96"
Australia,0,Other industries,E -S,Supply,Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Total Industry,Total industry,Supply,Distributed,$m,"8,843.38","9,237.47","9,003.03","9,432.29","9,833.01","9,697.49","9,705.62","9,928.66"
Australia,0,Households,HH,Supply,Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Imports,Imports,Supply,Distributed,$m,10.8397,9.8085,11.4074, - ,1.037,1.037, - , - 
Australia,0,Exports,Exports,Supply,Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Taxes,Taxes,Supply,Distributed,$m,39.7959,50.5102,41.4815,41.4815,55.8025,57.7778,60.2469,61.2346
Australia,0,Subsidies,Subsidies,Supply,Distributed,$m,-38,-37,-33,-36,-33,-35,-18,-18
Australia,0,Total,Total,Supply,Distributed,$m,"8,856.02","9,260.79","9,022.92","9,437.77","9,856.85","9,721.30","9,747.87","9,971.90"
Australia,0,"Agriculture, forestry and fishing",A,Supply,Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Reuse,$m, np , np , np , np , np , np , np , np 
Australia,0,Manufacturing,C,Supply,Reuse,$m, np , np , np , np , np , np , np , np 
Australia,0,"Electricity, gas and waste services",D,Supply,Reuse,$m,1.2494,1.0417,1.2162,1.466,1.4699,1.4993,1.458,1.3541
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Reuse,$m,86.516,109.479,88.2286,89.066,101.757,109.99,119.594,116.814
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Reuse,$m,87.7654,110.5207,89.4448,90.532,103.2269,111.4893,121.052,118.1681
Australia,0,Other industries,E -S,Supply,Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Total Industry,Total industry,Supply,Reuse,$m,184.2921,195.229,183.5706,199.2442,220.0255,244.4079,255.3474,230.0158
Australia,0,Households,HH,Supply,Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Imports,Imports,Supply,Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Exports,Exports,Supply,Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Taxes,Taxes,Supply,Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Subsidies,Subsidies,Supply,Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Supply,Reuse,$m,184.2921,195.229,183.5706,199.2442,220.0255,244.4079,255.3474,230.0158
Australia,0,"Agriculture, forestry and fishing",A,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Manufacturing,C,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,"Electricity, gas and waste services",D,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Bulk Water - Distributed,$m,"1,993.39","1,989.43","2,090.37","2,145.29","2,411.98","2,613.74","2,514.36","2,533.55"
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Bulk Water - Distributed,$m,"1,993.39","1,989.43","2,090.37","2,145.29","2,411.98","2,613.74","2,514.36","2,533.55"
Australia,0,Other industries,E -S,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Total Industry,Total industry,Supply,Bulk Water - Distributed,$m,"1,993.39","1,989.43","2,090.37","2,145.29","2,411.98","2,613.74","2,514.36","2,533.55"
Australia,0,Households,HH,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Imports,Imports,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Exports,Exports,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Taxes,Taxes,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Subsidies,Subsidies,Supply,Bulk Water - Distributed,$m, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Supply,Bulk Water - Distributed,$m,"1,993.39","1,989.43","2,090.37","2,145.29","2,411.98","2,613.74","2,514.36","2,533.55"
Australia,0,"Agriculture, forestry and fishing",A,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Manufacturing,C,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,"Electricity, gas and waste services",D,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023
Australia,0,Other industries,E -S,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Total Industry,Total industry,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023
Australia,0,Households,HH,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
