Table 15: The asset value for noise regulation in England provided by urban woodland had an estimated worth of £710 million in 2017
"Asset value of ecosystem service from noise mitigation, £ million (2018 prices), UK, 2017"

Noise band,Annual value of noise mitigation of 1dBA (£million/year),,,,
,England,Scotland,Wales,Northern Ireland,UK
Greater than or equal to 80,-,-,-,-,0
75.0 to 79.9,8,-,1,-,9
70.0 to 74.9,60,-,6,3,69
65.0 to 69.9,219,7,17,8,251
60.0 to 64.9,423,26,37,18,504
Total,710,33,61,29,833

Source: ,EFTEC
