"Figure 6: The woodland butterfly population is in a long-term decline",""
"Woodland Butterfly Index, UK, 1990 to 2018",""
"",""
"Notes",""
"Unit","Index (1990 = 100)"
"",""
"","Unsmoothed index","Smoothed index","Smoothed index lower 95% confidence interval","Smoothed index upper 95% confidence interval"
"1990","100","94","82","106"
"1991","90","90","80","100"
"1992","111","86","77","95"
"1993","55","82","75","90"
"1994","63","79","72","86"
"1995","84","75","69","82"
"1996","82","72","65","79"
"1997","91","69","62","76"
"1998","56","66","59","73"
"1999","48","63","56","70"
"2000","48","61","54","67"
"2001","47","58","52","65"
"2002","54","56","50","63"
"2003","68","55","48","61"
"2004","70","53","47","60"
"2005","54","52","45","58"
"2006","54","50","44","57"
"2007","36","49","42","56"
"2008","34","48","41","55"
"2009","54","47","41","54"
"2010","59","47","40","53"
"2011","52","46","39","53"
"2012","27","45","39","52"
"2013","52","45","38","52"
"2014","47","45","38","52"
"2015","45","45","37","52"
"2016","32","45","36","53"
"2017","42","45","34","55"
"2018","60","45","33","57"
