"Table 3: Number of sites where a Statutory Plant Health Notice has been served, UK, between 2010 to 2011 and 2018 to 2019"


Year,England,Wales,Scotland,Northern Ireland,UK
2010 to 2011,114,46,1,10,171
2011 to 2012,131,90,14,16,251
2012 to 2013,168,89,123,15,395
2013 to 2014,244,272,76,28,620
2014 to 2015,140,71,9,17,237
2015 to 2016,73,57,34,3,167
2016 to 2017,75,53,71,0,199
2017 to 2018,43,153,71,14,281
2018 to 2019,136,215,491,0,842

Source: ,"Forestry Commission, Scottish Forestry, Natural Resources Wales, and Forest Service"
