Table 3: Annual values for marine and coastal margins ecosystem services
"UK, £ million (2023 prices), 2022"

,England,Scotland,Wales,Northern Ireland,UK
Fish provisioning,16,167,1,1,185
Minerals and metals provisioning,228,[x],32,[x],273
Oil and gas provisioning,"6,646","32,795",0,0,"39,442"
Renewable electricity provisioning,633,201,13,[x],988
Air pollution regulating,16,0,1,0,17
Greenhouse gas regulating,[x],[x],[x],[x],74
Flood regulating,70,[x],9,[x],79
Recreation (health benefits),803,97,69,43,"1,012"
Recreation and tourism (expenditure),813,131,117,46,"1,165"
Total,"9,225","33,392",242,91,"43,235"

Source: ,Marine and coastal margins natural capital accounts from the Office for National Statistics
Notes
1,Country-level data may not add up to the overall UK total because of rounding and other data limitations.
2,[x] indicates that data are not available.
