"Figure 23: The number of people gaining health benefits from coastal and marine areas has increased since 2020",""
"Number of people gaining health benefits from coastal and marine habitats, millions, UK, 2009 to 2022",""
"",""
"Notes","1. Natural England used Monitor of Engagement with the Natural Environment (MENE) Survey data up until 2019, when the survey concluded. They now use the People and Nature Survey (PaNS). The two surveys are not directly comparable.
2. Data in this chart are from the MENE Survey and PaNS from Natural England, the Welsh Outdoor Recreation Survey (WORS) from Natural Resources Wales (NRW), the PaNS Wales from NRW and Natural England, the Scottish Recreation Survey (SRS) and Scotland's PaNS from NatureScot, and the People in the Outdoors Monitor for Northern Ireland (POMNI) from Outscape."
"Unit","Million"
"",""
"Year","Northern Ireland","Wales","Scotland","England"
"2009","0.1","0.1","0.3","1.6"
"2010","0.1","0.1","0.3","1.4"
"2011","0.1","0.1","0.3","1.5"
"2012","0.1","0.1","0.2","1.5"
"2013","0.1","0.1","0.3","1.4"
"2014","0.1","0.1","0.3","1.5"
"2015","0.1","0.1","0.3","1.5"
"2016","0.1","0.1","0.3","1.8"
"2017","0.1","0.1","0.3","1.8"
"2018","0.1","0.2","0.3","1.6"
"2019","0.1","0.2","0.2","1.7"
"","","","",""
"2020","0.1","0.2","0.3","1.6"
"2021","0.1","0.2","0.3","1.9"
"2022","0.1","0.2","0.3","2.1"
