Table 6: Edinburgh and Glasgow had a total avoided cost from urban cooling of £3.15 million in 2018
"Total annual value of cooling from green/blue space in each of Great Britain’s regions (£ thousand, 2018 prices)"

City region,Avoided costs ,,
,2016,2017,2018
Cardiff,"3,370","5,260","4,150"
Edinburgh,230,-,380
Glasgow,330,-,"2,770"
Greater Manchester,"7,820","1,440","9,300"
Liverpool,"4,230",860,"4,560"
London,"237,050","207,830","586,860"
North East,350,40,60
Sheffield,"3,460","3,180","8,210"
West Midlands,"12,640","16,080","26,490"
West of England,"4,650","11,370","9,530"
West Yorkshire,"4,710","1,770","7,530"
Scottish Total,560,-,"3,150"
Total,"278,840","247,830","659,840"

Source: ,Eftec and others (2018) and Met Office
