Table 5: The number of hot days for the Scottish regions increased from 0 days in 2017 to 1.5 days in 2018
Number of hot days in each of the 11 Great British regions

City region,Number of hot days,,
,2016,2017,2018
Cardiff,1.3,3.1,5
Edinburgh,0.2,0,0.5
Glasgow,0.2,0,1
Greater Manchester,1,0.9,4.3
Liverpool,1,2.2,6.2
London,8.2,7.4,22.9
North East,0.4,0,0.1
Sheffield,2.4,1.9,5.7
West Midlands,2.8,4.6,10.6
West of England,1.6,4.6,8.5
West Yorkshire,1.1,1,2.8
Scottish Total,0.4,0,1.5
Total,20.2,25.7,67.6

Source: ,Eftec and others (2018) and Met Office
