Table 15: Scottish recreation broad habitat classifications


Broad habitat,Scotland survey habitats
Built up areas and gardens,Village
,Local park or open space
,Towns
,Golf course/football stadium
,Local urban
,Local area
,City
,Country lanes
,Castle/historical building
,Garden/gardening
,Local show/festival
,Leisure/sports centre
,Streets/roads
Coastal margins,Sea/sea loch
,Beach/cliff
,Beach
,Cliff
,Wildlife area
Woodland,Woodland/forest - managed by Forestry Commission/Forest Enterprise
,Woodland/forest - other type of owner
,Woodland/forest - don't know owner
,Wildlife area
Farmland,Farmland - fields with crops
,Farmland - fields with livestock
,Farmland - mixed crops and livestock
,Wildlife area
,Farmland unspecified
,Country/countryside
"Mountain, moorland and hill",Mountain/moorland
,Mountain/hill
,Moorland
,Wildlife area
Freshwater,Loch
,River/canal
,River
,Canal
,Wildlife area
,Reservoir
Other,Others
,None of these
,Don't know/Not stated

Source: ,"Office for National Statistics, Scottish Recreation Survey, Scottish People and Nature Survey"
