"Table 3: 167,000 buildings benefited from noise reduction due to UK urban vegetation  "
"Number of buildings where road noise levels are mitigated by natural capital in the UK, 2017"

"Noise band in noise 
metric by decibel¹","Number of buildings benefiting from noise mitigation by urban 
vegetation² (rounded to the nearest thousand)",,,,
,England,Scotland³,Wales,Northern Ireland,UK
more than=80,-,"                              - ",-,"                              - ",-
75.0-79.9,"1,000","                              - ",-,-,
70.0-74.9,"8,000",-,"1,000",-,
65.0-69.9,"36,000","1,000","3,000","1,000",
60.0-64.9,"98,000","6,000","8,000","4,000",
Total,"143,000","7,000","12,000","5,000","167,000"

Source: ,Eftec and Others 
Notes
1,5 dBA bands applied along with guidance in Defra's noise pollution: economic analysis published in 2014.
2,"Urban vegetation includes large woodlands (greater than 3,000m2) and smaller woodlands (less than 3,000m2), but not very small woodlands (less than 200m2). "
3,Number of dwellings receiving mitigation in Scotland is likely to be lower than the estimates for the other countries because Eftec and others 2018 used the Lden noise metric rather than the LA1018 metric which was not available for Scotland.
