Table 5: The asset value for noise regulation in England was estimated to be worth £710 million 
"Asset value of ecosystem service from noise mitigation, £ million (2018 prices), UK, 2017 "

Noise band¹,Annual value of noise mitigation of 1dBA (£ million per year),,,,
,England,Scotland,Wales,Northern Ireland,UK
Greater than or equal to 80,-,-  ,-     ,-                         ,-
75.0-79.9,8,-,1,-,9
70.0-74.9,60,-,6,3,69
65.0-69.9,219,7,17,8,251
60.0-64.9,423,26,37,18,504
Total,710,33,61,29,833

Source: ,Eftec and others (2018)
