Table 8: A rise in one percentage point of woodland relative to the urban area can lead to an overall saving in labour productivity by at least £9.3 million
"Avoided productivity losses by city region based on an average hot day between 2013 to 2017, £ (2018 prices), Great Britain"

City Region,Avoided labour productivity costs (£),
Cardiff,"115,500 ",
Edinburgh,"4,500 ",
Glasgow,"5,200 ",
Greater Manchester,"196,800 ",
Liverpool,"91,900 ",
London,"7,784,300 ",
North East,"9,000 ",
Sheffield,"131,400 ",
West Midlands,"589,100 ",
West of England,"261,700 ",
West Yorkshire,"137,200 ",
Total,"9,326,500 ",

Source: ,"Eftec and others (2018), Met Office and Office for National Statistics"
