"Table 13: Estimates of amount spent (£, current prices) on publicly funded research on UK woodland (as of 25 September 2019)"


Year,Amount spent on publicly funded research (£),
2006,"                                              -   ",
2007,"18,430.42",
2008,"27,532.79",
2009,"77,056.19",
2010,"179,002.06",
2011,"201,441.27",
2012,"278,787.47",
2013,"411,154.75",
2014,"1,565,989.76",
2015,"2,309,950.16",
2016,"2,437,794.10",
2017,"2,121,302.20",
2018,"1,221,581.41",
2019,"2,014,649.92",
2020,"2,288,004.70",
2021,"1,812,408.45",
2022,"923,589.87",
2023,"640,704.68",
2024,"465,238.80",

Source: ,Office for National Statistics
