"Figure 19: From 2008 wind was the largest source of renewable electricity generation",""
"Renewable electricity generation, gigawatt hours (GWh), UK, 1990 to 2018",""
"",""
"Notes","1. Total and bioenergy excludes generation from co-firing with fossil fuels.
2. Bioenergy includes landfill and sewage gas, sewage sludge digestion, energy from biodegradable waste combustion, animal biomass, plant biomass, and anaerobic digestion."
"Unit","Gigawatt hours"
"",""
"","Wind","Hydro","Wave and tidal","Solar","Bioenergy"
"1990","9.2","5206.6","0","0","595.8"
"1991","8.6","4623.9","0","0","687.9"
"1992","32.5","5431.4","0","0","934.2"
"1993","217.4","4301.8","0","0","1198"
"1994","343.5","5093.8","0","0","1518.5"
"1995","392.3","4837.6","0","0.1","1641.6"
"1996","487.7","3392.2","0","0.1","1804.6"
"1997","667","4168.7","0","0.2","2109.8"
"1998","876.9","5117.3","0","0.3","2654.2"
"1999","850.2","5335.8","0","0.7","3429.1"
"2000","945.8","5085.3","0","1.3","3881.8"
"2001","965.1","4055.7","0","1.8","4526"
"2002","1256","4787.9","0","2.7","4793.6"
"2003","1285.4","3137.5","0","2.9","5572"
"2004","1935.1","4844","0","4","6342.3"
"2005","2903.9","4921.5","0","8.2","6569.6"
"2006","4225.1","4593.1","0","10.7","6749.4"
"2007","5273.8","5077.3","0","14","7567.1"
"2008","7121.5","5141.2","0","17","7990.8"
"2009","9281","5227.9","0.1","20","9089.3"
"2010","10285.6","3591.4","0.2","40.3","9828.8"
"2011","15963","5691.8","0.1","243.6","10220"
"2012","19847.1","5309.7","0.4","1353.8","12905.3"
"2013","28397","4701.5","0.4","2010.2","17762.6"
"2014","31959.3","5887.8","0.2","4054.1","22495"
"2015","40274.7","6297.3","0.2","7532.9","29073.7"
"2016","37155","5393.9","0","10407.9","29942.9"
"2017","49633.1","5901.6","0.4","11475.5","31724.4"
"2018","56904","5489.8","0","12857.4","34757.3"
