"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Monetary Water Supply and Use, by Industry and Water Type, Australia and state/territory (Purchasers' Prices), $ Million, 2014-15 to 2023-24 (a)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,"Agriculture, forestry and fishing",A,Supply,Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Supply,Distributed,$m,np,np,np,np,np,np,np,np,np,np
Australia,0,Manufacturing,C,Supply,Distributed,$m,np,np,np,np,np,np,np,np,np,np
Australia,0,"Electricity, gas and waste services",D,Supply,Distributed,$m,25.6805,28.1694,29.828,30.4959,36.3762,29.9588,29.6391,31.7623,32.4371,34.283
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Distributed,$m,8767.5138,9152.4277,8907.1914,9339.3966,9724.2676,9596.3864,9604.8496,9830.5307,10034.3706,11336.5762
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Distributed,$m,8793.1943,9180.5971,8937.0194,9369.8925,9760.6438,9626.3452,9634.4887,9862.2929,10066.8077,11370.8591
Australia,0,Other industries,E -S,Supply,Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total Industry,Total industry,Supply,Distributed,$m,8852.5395,9247.5981,9007.4794,9443.0712,9844.1655,9709.1983,9717.1547,9944.237,10153.4795,11460.2337
Australia,0,Households,HH,Supply,Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Supply,Distributed,$m,10.8397,9.8085,11.4074,-,1.037,1.037,-,-,-,-
Australia,0,Exports,Exports,Supply,Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Supply,Distributed,$m,39.7959,50.5102,41.4815,41.4815,55.8025,57.7778,60.2469,52.3457,55.8025,114.0741
Australia,0,Subsidies (c),Subsidies,Supply,Distributed,$m,-38,-37,-33,-36,-33,-35,-18,na,na,na
Australia,0,Total,Total,Supply,Distributed,$m,8865.1751,9270.9167,9027.3683,9448.5526,9868.005,9733.0131,9759.4016,9996.5827,10209.282,11574.3078
Australia,0,"Agriculture, forestry and fishing",A,Supply,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Supply,Reuse,$m,np,np,np,np,np,np,np,np,np,np
Australia,0,Manufacturing,C,Supply,Reuse,$m,np,np,np,np,np,np,np,np,np,np
Australia,0,"Electricity, gas and waste services",D,Supply,Reuse,$m,1.2494,1.0417,1.2162,1.466,1.4699,1.4993,1.458,1.4541,1.3898,1.591
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Reuse,$m,86.516,109.479,88.2286,89.066,101.757,109.99,119.594,116.8139,122.6655,128.1696
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Reuse,$m,87.7654,110.5207,89.4448,90.532,103.2269,111.4893,121.052,118.268,124.0553,129.7606
Australia,0,Other industries,E -S,Supply,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total Industry,Total industry,Supply,Reuse,$m,159.874,175.6883,161.1785,172.9351,193.4503,214.574,223.9924,209.0027,219.2767,235.8509
Australia,0,Households,HH,Supply,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Supply,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Exports,Exports,Supply,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Supply,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Subsidies (c),Subsidies,Supply,Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Supply,Reuse,$m,159.874,175.6883,161.1785,172.9351,193.4503,214.574,223.9924,209.0027,219.2767,235.8509
Australia,0,"Agriculture, forestry and fishing",A,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Manufacturing,C,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Electricity, gas and waste services",D,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Bulk Water - Distributed,$m,1993.3907,1989.4259,2090.3733,2145.2892,2411.979,2613.741,2514.355,2532.754,2603.416,2759.172
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Bulk Water - Distributed,$m,1993.3907,1989.4259,2090.3733,2145.2892,2411.979,2613.741,2514.355,2532.754,2603.416,2759.172
Australia,0,Other industries,E -S,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total Industry,Total industry,Supply,Bulk Water - Distributed,$m,1993.3907,1989.4259,2090.3733,2145.2892,2411.979,2613.741,2514.355,2532.754,2603.416,2759.172
Australia,0,Households,HH,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Exports,Exports,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Subsidies (c),Subsidies,Supply,Bulk Water - Distributed,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Supply,Bulk Water - Distributed,$m,1993.3907,1989.4259,2090.3733,2145.2892,2411.979,2613.741,2514.355,2532.754,2603.416,2759.172
