Table 1: Summary of the condition of UK woodlands


Type,Indicator,Condition,Long term trend,Short term trend
Biodiversity,Butterfly index UK,Long term decline 1990 to 2018,Declining,Little or no change
,Woodland bird index UK,Decrease of 29% between 1970 to 2018,Declining,Declining
,Tree age structure GB,NFI first assessment 42% area unfavourable,,
,Regeneration GB,NFI first assessment 0% area unfavourable,,
,Veteran trees GB,NFI first assessment 99% area unfavourable,,
,Tree health GB,NFI first assessment 85% area favourable,,
,Deadwood GB,NFI first assessment 77% area unfavourable,,
,Herbivores & grazing GB,NFI first assessment 49% area favourable,,
,Invasive plant species GB,NFI first assessment 92% area favourable,,
Certified woodlands,Area FSC certified woodlands UK,Improvement 32% from 2001 to 2019,Increasing,Increasing
Space for people,Access to woodlands UK,Improvement 0.1% from 2012 to 2016,Increasing,Increasing
Protected sites,Scotland SSSIs/SACs,51% favourable in 2018,,
,England SSSIs,37% favourable 2018/19,,
Pressure indicators,Wildfires UK,"2019-20 29,396 hectares affected (EFFIS data)",Increasing,Increasing

Source: ,"Department for Environment, Food and Rural Affairs; British Trust for Ornithology; Royal Society for the Protection of Birds; Joint Nature Conservation Committee; Butterfly Conservation Society; Centre for Ecology and Hydrology; Forest Research; Woodland Trust; and European Forest Fire Information System"
Notes
1,The long-term and short-term trend vary depending on the dataset. Each dataset has a different time series; therefore short term refers to the most recent year’s data available.
