Table 10: The number of hot days increased significantly in 2018 to 67.6 days over the 11 city regions
"Number of hot days in each of the 11 regions of Great Britain, 2016 to 2018"

City region,Number of hot days,,
,2016,2017,2018
Cardiff,1.3,3.1,5.0
Edinburgh,0.2,0.0,0.5
Glasgow,0.2,0.0,1.0
Greater Manchester,1.0,0.9,4.3
Liverpool,1.0,2.2,6.2
London,8.2,7.4,22.9
North East,0.4,0.0,0.1
Sheffield,2.4,1.9,5.7
West Midlands,2.8,4.6,10.6
West of England,1.6,4.6,8.5
West Yorkshire,1.1,1.0,2.8
Total,20.2,25.7,67.6

Source: ,EFTEC and others – Scoping UK Urban Natural Capital Account; Met Office
