Table 11: The total annual value of cooling from urban woodland in 2018 was valued at £229.2 million
"Total annual value of cooling from urban woodland space in each of Great Britain’s city regions (£ thousand, 2018 prices), 2016 to 2018"

City region,Avoided costs,,
,2016,2017,2018
Cardiff,"1,195","1,812","1,448"
Edinburgh,119,-,185
Glasgow,146,-,"1,118"
Greater Manchester,"2,692",636,"3,164"
Liverpool,"1,203",379,"1,282"
London,"84,776","74,681","205,328"
North East,108,27,33
Sheffield,"1,209","1,122","2,713"
West Midlands,"4,116","5,140","8,228"
West of England,"1,607","3,483","2,967"
West Yorkshire,"1,723",725,"2,675"
Total,"98,894","88,005","229,141"

Source: ,EFTEC and others – Scoping UK Urban Natural Capital Account; Met Office
Notes
1,"The value presented here is slightly different to the value presented in the last urban report as we have adapted the air conditioning numbers to consider the amount of green space relative to London as well as the area of office space. For a full outline of the method used to calculate cost savings for air conditioning see Scoping UK Urban Natural Capital Accounts: Extension to develop temperature regulation estimates (PDF, 834KB). "
