Table 12: A one percentage point rise in woodland relative to the urban area can lead to an overall saving in labour productivity of at least £12.8 million in 2018
"Avoided productivity losses from a 1% rise in woodland by city region in Great Britain based on an average of hot days between 2013 to 2017 and 2014 to 2018, (£, 2018 prices)"

City region,Avoided labour productivity costs,
,2013 to 2017,2014 to 2018
Cardiff,"115,480","126,540"
Edinburgh,"4,470","4,730"
Glasgow,"5,180","28,330"
Greater Manchester,"196,750","249,170"
Liverpool,"91,850","128,430"
London,"7,784,330","10,988,470"
North East,"9,010","7,890"
Sheffield,"131,430","173,860"
West Midlands,"589,130","640,630"
West of England,"261,650","280,500"
West Yorkshire,"137,190","172,190"
Total,"9,326,470","12,800,740"

Source: ,Office for National Statistics – Woodland natural capital accounts; EFTEC and others – Scoping UK Urban Natural Capital Account; and Met Office
