Table 14: Noise mitigation provided by small woodlands in the UK led to a saving of £15.3 million in avoided loss of quality adjusted years associated with adverse health outcomes
"Monetary flow accounts for the noise mitigation of urban woodland, £ million (2018 prices), UK, 2017 "

Noise band,Annual value of noise mitigation of 1dBA (£ million),,,,
,England ,Scotland,Wales,Northern Ireland,UK
Greater than or equal to 80,"1,000",-,-,-,"1,000"
75.0 to 79.9,"148,000",-,"11,000","2,000","161,000"
70.0 to 74.9,"1,104,000","8,000","106,000","56,000","1,274,000"
65.0 to 69.9,"4,026,000","124,000","313,000","141,000","4,604,000"
60.0 to 64.9,"7,778,000","481,000","672,000","324,000","9,255,000"
55.0 to 59.9,-,-,-,-,0
50.0 to 54.9,-,-,-,-,0
45.0 to 49.9,-,-,-,-,0
Total,"13,057,000","613,000","1,102,000","523,000","15,295,000"

Source: ,EFTEC and others – Scoping UK Urban Natural Capital Account: Extending noise regulation estimates
Notes
1,5dBA bands applied along with guidance in Defra’s noise pollution: economic analysis published in 2014.
