Country or area,Region,Material flow accounts_reported,Material flow accounts_available,Material flow accounts_nonreport_avail,Economy wide material flow accounts_reported,Economy wide material flow accounts_available,Economy wide material flow accounts_nonreport_avail,Physical supply and use tables for water_reported,Physical supply and use tables for water_available,Physical supply and use tables for water_nonreport_avail,Monetary supply and use tables for water_reported,Monetary supply and use tables for water_available,Monetary supply and use tables for water_nonreport_avail,Physical asset accounts for water_reported,Physical asset accounts for water_available,Physical asset accounts for water_nonreport_avail,Water emission accounts_reported,Water emission accounts_available,Water emission accounts_nonreport_avail,Physical supply and use tables for energy_reported,Physical supply and use tables for energy_available,Physical supply and use tables for energy_nonreport_avail,Monetary supply and use tables for energy_reported,Monetary supply and use tables for energy_available,Monetary supply and use tables for energy_nonreport_avail,Physical asset accounts for mineral and energy resources_reported,Physical asset accounts for mineral and energy resources_available,Physical asset accounts for mineral and energy resources_nonreport_avail,Monetary asset accounts for mineral and energy resources_reported,Monetary asset accounts for mineral and energy resources_available,Monetary asset accounts for mineral and energy resources_nonreport_avail,Air emission accounts_reported,Air emission accounts_available,Air emission accounts_nonreport_avail,Physical asset accounts for land_reported,Physical asset accounts for land_available,Physical asset accounts for land_nonreport_avail,Monetary asset accounts for land_reported,Monetary asset accounts for land_available,Monetary asset accounts for land_nonreport_avail,Physical asset accounts for timber resources_reported,Physical asset accounts for timber resources_available,Physical asset accounts for timber resources_nonreport_avail,Monetary asset accounts for timber resources_reported,Monetary asset accounts for timber resources_available,Monetary asset accounts for timber resources_nonreport_avail,Physical asset accounts for aquatic resources_reported,Physical asset accounts for aquatic resources_available,Physical asset accounts for aquatic resources_nonreport_avail,Monetary asset accounts for aquatic resources_reported,Monetary asset accounts for aquatic resources_available,Monetary asset accounts for aquatic resources_nonreport_avail,Asset accounts for other biological resources_reported,Asset accounts for other biological resources_available,Asset accounts for other biological resources_nonreport_avail,Waste accounts_reported,Waste accounts_available,Waste accounts_nonreport_avail,Environmental protection expenditure accounts_reported,Environmental protection expenditure accounts_available,Environmental protection expenditure accounts_nonreport_avail,Resource management expenditure accounts_reported,Resource management expenditure accounts_available,Resource management expenditure accounts_nonreport_avail,Environmental goods and services accounts_reported,Environmental goods and services accounts_available,Environmental goods and services accounts_nonreport_avail,Taxes accounts_reported,Taxes accounts_available,Taxes accounts_nonreport_avail,Environmental subsidies accounts_reported,Environmental subsidies accounts_available,Environmental subsidies accounts_nonreport_avail,"Agriculture, Forestry and Fisheries accounts_reported","Agriculture, Forestry and Fisheries accounts_available","Agriculture, Forestry and Fisheries accounts_nonreport_avail",Ecosystem extent accounts_reported,Ecosystem extent accounts_available,Ecosystem extent accounts_nonreport_avail,Ecosystem condition accounts_reported,Ecosystem condition accounts_available,Ecosystem condition accounts_nonreport_avail,Physical ecosystem services accounts_reported,Physical ecosystem services accounts_available,Physical ecosystem services accounts_nonreport_avail,Monetary ecosystem services accounts_reported,Monetary ecosystem services accounts_available,Monetary ecosystem services accounts_nonreport_avail,Ecosystem asset accounts_reported,Ecosystem asset accounts_available,Ecosystem asset accounts_nonreport_avail,Ocean accounts_reported,Ocean accounts_available,Ocean accounts_nonreport_avail,Species accounts_reported,Species accounts_available,Species accounts_nonreport_avail,Carbon accounts_reported,Carbon accounts_available,Carbon accounts_nonreport_avail,Urban accounts_reported,Urban accounts_available,Urban accounts_nonreport_avail,Protected areas accounts_reported,Protected areas accounts_available,Protected areas accounts_nonreport_avail,Forest accounts_reported,Forest accounts_available,Forest accounts_nonreport_avail
Albania,Europe & Central Asia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Latin America & Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,Europe & Central Asia,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,East Asia & Pacific,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Austria,Europe & Central Asia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,Europe & Central Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,South Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,Europe & Central Asia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Europe & Central Asia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Benin,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
